id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q2883936,Barbara Castle,1970-06-19,1971-10-19,,Q9576,,
Q9576,James Callaghan,1971-10-19,1972-04-19,Q2883936,Q4816857,,
Q4816857,Reg Prentice,1972-04-19,1974-03-04,Q9576,Q333963,,
Q333963,"William Whitelaw, 1st Viscount Whitelaw",1974-03-11,1974-10-29,Q4816857,Q333412,,
Q333412,"James Prior, Baron Prior",1974-10-29,1979-05-04,Q333963,Q262749,,
Q262749,Albert Booth,1979-05-04,1979-07-14,Q333412,Q334327,,
Q334327,Eric Varley,1979-07-14,1983-10-31,Q262749,Q332377,,
Q332377,John Smith (Labour Party leader),1983-10-31,1984-10-26,Q334327,Q332393,,
Q332393,John Prescott,1984-10-26,1987-07-13,Q332377,Q583993,,
Q583993,Michael Meacher,1987-07-13,1989-11-02,Q332393,Q9545,,
Q9545,Tony Blair,1989-11-02,1992-07-18,Q583993,Q300182,,
Q300182,Frank Dobson,1992-07-18,1993-10-21,Q9545,Q332393,,
Q332393,John Prescott,1993-10-21,1994-10-20,Q300182,Q234182,,
Q234182,Harriet Harman,1994-10-20,1995-10-19,Q332393,Q264196,,
Q264196,David Blunkett,1995-10-19,1997-05-02,Q234182,Q333058,,
Q333058,Gillian Shephard,1997-05-02,1997-06-11,Q264196,Q300349,,
Q300349,Stephen Dorrell,1997-06-11,1998-06-15,Q333058,Q266064,,
Q266064,David Willetts,1998-06-01,1999-06-15,Q300349,Q264766,,
Q264766,Theresa May,1999-06-15,2001-09-18,Q266064,,,
